년도,월,일,요일,공휴일,시간,이용건수,기온,강수량(mm),풍속(m/s),습도(%),미세먼지 경보단계
2022,1,8,5,1,22:00,1791,3.4,0.0,1.3,77.6,주의보
2022,1,8,5,1,22:00,1791,3.4,0.0,1.4,76.8,주의보
2022,1,8,5,1,22:00,1791,3.4,0.0,1.0,77.7,주의보
2022,1,8,5,1,22:00,1791,3.4,0.0,1.8,77.6,주의보
2022,1,8,5,1,22:00,1791,3.4,0.0,1.6,77.4,주의보
2022,1,8,5,1,22:00,1791,3.4,0.0,1.5,77.9,주의보
2022,1,8,5,1,22:00,1791,3.4,0.0,1.2,77.6,주의보
2022,1,8,5,1,22:00,1791,3.4,0.0,1.0,77.3,주의보
2022,1,8,5,1,22:00,1791,3.4,0.0,1.4,78.0,주의보
2022,1,8,5,1,22:00,1791,3.4,0.0,2.1,78.1,주의보
2022,1,8,5,1,22:00,1791,3.5,0.0,2.0,78.2,주의보
2022,1,8,5,1,22:00,1791,3.5,0.0,2.9,78.1,주의보
2022,1,8,5,1,22:00,1791,3.5,0.0,1.9,78.1,주의보
2022,1,8,5,1,22:00,1791,3.5,0.0,1.5,77.8,주의보
2022,1,8,5,1,22:00,1791,3.5,0.0,2.0,77.7,주의보
2022,1,8,5,1,22:00,1791,3.5,0.0,1.7,78.1,주의보
2022,1,8,5,1,22:00,1791,3.5,0.0,1.7,77.8,주의보
2022,1,8,5,1,22:00,1791,3.5,0.0,1.1,77.6,주의보
2022,1,8,5,1,22:00,1791,3.5,0.0,1.3,77.6,주의보
2022,1,8,5,1,22:00,1791,3.5,0.0,0.6,77.2,주의보
2022,1,8,5,1,22:00,1791,3.5,0.0,0.8,77.2,주의보
2022,1,8,5,1,22:00,1791,3.4,0.0,1.0,77.4,주의보
2022,1,8,5,1,22:00,1791,3.5,0.0,1.3,77.0,주의보
2022,1,8,5,1,22:00,1791,3.4,0.0,1.5,77.7,주의보
2022,1,8,5,1,22:00,1791,3.4,0.0,1.1,76.9,주의보
2022,1,8,5,1,22:00,1791,3.4,0.0,1.5,77.5,주의보
2022,1,8,5,1,22:00,1791,3.5,0.0,1.2,77.2,주의보
